primaryTitle,startYear,runtimeMinutes,genres
The Grasp of Greed,1916,50,"Drama,Romance"
The Great Problem,1916,50,"Drama,Romance"
The Greater Woman,1917,50,"Drama,Romance"
Green Stockings,1916,50,Comedy
The Green Swamp,1916,50,Drama
The Green-Eyed Monster,1916,50,Drama
Gretchen the Greenhorn,1916,58,"Crime,Drama,Romance"
The Grip of Jealousy,1916,50,Drama
Guldspindeln,1916,50,Drama
A Gutter Magdalene,1916,50,Drama
The Habit of Happiness,1916,50,Comedy
Half a Rogue,1916,50,"Drama,Romance"
The Half-Breed,1916,73,Western
The Half Million Bribe,1916,50,Drama
The Hand of Peril,1916,66,"Crime,Drama"
Hans hustrus förflutna,1915,55,Comedy
Havsgamar,1916,51,"Crime,Drama"
Hazel Kirke,1916,50,Drama
He Fell in Love with His Wife,1916,50,Drama
The Heart of Nora Flynn,1916,50,Drama
The Heart of Paula,1916,50,"Drama,Western"
The Heart of a Child,1915,50,Drama
The Heart of a Hero,1916,68,"Drama,War"
The Heart of the Hills,1916,93,Drama
The Heir to the Hoorah,1916,50,"Action,Drama"
The Heiress at Coffee Dan's,1916,50,"Comedy,Crime,Drama"
Hell's Hinges,1916,64,"Romance,Western"
Hell-to-Pay Austin,1916,50,"Comedy,Drama"
Her Bitter Cup,1916,50,Drama
Her Debt of Honor,1916,50,Drama
Her Double Life,1916,60,Drama
Her Father's Son,1916,50,Comedy
The Heritage of Hate,1916,50,Drama
The Hidden Scar,1916,50,Drama
His Picture in the Papers,1916,62,Comedy
His Wife's Good Name,1916,50,Drama
Hoffmanns Erzählungen,1916,67,Fantasy
"Homunculus, 1. Teil",1916,69,"Horror,Sci-Fi"
Honor Thy Name,1916,50,Drama
The Honor of Mary Blake,1916,50,Drama
Honor's Altar,1916,50,Drama
The Honorable Friend,1916,50,"Crime,Drama"
Hoodoo Ann,1916,65,"Comedy,Drama,Romance"
Hop - The Devil's Brew,1916,50,Drama
Human Driftwood,1916,50,Drama
The Hunted Woman,1916,50,"Adventure,Drama"
The Huntress of Men,1916,50,Drama
Husband and Wife,1916,50,Drama
Hypocrisy,1916,60,Drama
Idle Wives,1916,70,Drama
If My Country Should Call,1916,50,Drama
In the Diplomatic Service,1916,50,"Comedy,Drama"
The Innocence of Ruth,1916,59,Drama
The Innocent Lie,1916,50,Drama
An Innocent Magdalene,1916,50,Drama
An International Marriage,1916,50,"Comedy,Drama"
Intolerance,1916,163,"Drama,History"
The Intrigue,1916,64,Drama
The Iron Hand,1916,50,Drama
The Iron Woman,1916,60,Drama
Is Any Girl Safe?,1916,50,Drama
The Island of Desire,1917,50,Drama
The Island of Surprise,1916,50,Drama
The Isle of Life,1916,50,"Adventure,Romance"
It Happened in Honolulu,1916,50,"Comedy,Drama"
Jealousy,1916,50,Drama
Jim Grimsby's Boy,1916,50,Western
John Needham's Double,1916,50,Drama
Joy and the Dragon,1916,50,Drama
Judex,1916,300,"Adventure,Crime"
Kennedy Square,1916,50,"Drama,History"
King Lear,1916,63,Drama
"Kinkaid, Gambler",1916,50,"Crime,Drama"
The Kiss of Hate,1916,50,Drama
The Kiss,1916,50,"Comedy,Drama"
A Knight of the Range,1916,50,Western
Victory of Love,1916,62,Drama
The Lash,1916,90,Drama
The Last Man,1916,59,"Drama,Romance,War"
Less Than the Dust,1916,93,Drama
Liberty,1916,400,"Action,Adventure,War"
Life's Shadows,1916,50,"Comedy,Drama"
The Light at Dusk,1916,60,Drama
The Light of Happiness,1916,50,Drama
Little Eve Edgarton,1916,50,"Comedy,Drama"
Little Lady Eileen,1916,50,Romance
The Little Liar,1916,50,Drama
Little Mary Sunshine,1916,46,Drama
Little Meena's Romance,1916,50,"Comedy,Drama"
Little Miss Happiness,1916,50,Drama
The Lords of High Decision,1916,50,Drama
The Lost Bridegroom,1916,50,Comedy
The Lottery Man,1916,50,Comedy
The Love Girl,1916,50,Comedy
The Love Mask,1916,50,"Drama,Romance,Western"
The Love Thief,1916,50,Drama
Love and Hate,1916,60,Drama
Love's Lariat,1916,50,"Comedy,Western"
Lovely Mary,1916,50,Drama
The Lure of Heart's Desire,1916,50,Drama
Macbeth,1916,80,"Drama,History"
The Warrior,1916,95,"Action,Drama,War"
Madame la Presidente,1916,50,Comedy
The Madcap,1916,50,"Comedy,Drama"
The Mainspring,1916,50,Drama
The Making of Maddalena,1916,50,Drama
The Man from Bitter Roots,1916,50,Western
The Man Inside,1916,50,"Crime,Drama,Mystery"
The Man Who Stood Still,1916,50,Drama
Man and His Soul,1916,50,Drama
The Man from Nowhere,1916,50,Drama
A Man of Sorrow,1916,60,Drama
Manhattan Madness,1916,50,"Action,Comedy,Romance"
The Manxman,1916,90,Drama
The Marble Heart,1916,50,Drama
Maria Rosa,1916,50,Drama
The Mark of Cain,1916,50,Drama
The Market of Vain Desire,1916,50,Drama
The Marriage of Molly-O,1916,50,"Comedy,Drama,Romance"
Martha's Vindication,1916,50,Drama
The Masked Rider,1916,50,Drama
The Matrimaniac,1916,46,"Comedy,Romance"
The Measure of a Man,1916,50,Drama
The Mediator,1916,50,Western
The Men She Married,1916,50,Drama
The Merchant of Venice,1916,85,Drama
Merely Mary Ann,1916,50,"Comedy,Drama,Romance"
The Microscope Mystery,1916,50,"Comedy,Drama,Mystery"
Milestones,1916,90,Drama
Millers dokument,1916,52,Drama
A Million a Minute,1916,50,Drama
Mind the Paint Girl,1919,60,"Drama,Romance"
Ministerpresidenten,1916,51,Drama
The Unattainable,1916,50,Drama
The Mischief Maker,1916,50,"Comedy,Drama"
Miss George Washington,1916,50,"Comedy,Romance"
Miss Petticoats,1916,50,"Drama,Romance"
Mister 44,1916,50,"Comedy,Romance,Western"
Mixed Blood,1916,50,"Drama,Western"
A Modern Thelma,1916,50,Drama
Molly Make-Believe,1916,50,"Comedy,Drama,Romance"
The Moment Before,1916,50,Drama
The Moral Fabric,1916,50,Drama
The Morals of Hilda,1916,50,Drama
Mother Love,1916,50,Drama
Motherhood,1917,50,Drama
"Mr. Goode, Samaritan",1916,50,"Comedy,Drama"
The Mutiny of the Bounty,1916,55,"Drama,Thriller"
My Lady Incog.,1916,50,"Comedy,Drama"
My Lady's Slipper,1916,50,"Drama,Romance"
A Night of Horror,1917,56,"Drama,Horror"
Naked Hearts,1916,50,Drama
Nanette of the Wilds,1916,50,Drama
The Narrow Path,1916,50,Drama
Nattens barn,1916,53,Drama
The Ne'er Do Well,1915,140,Adventure
Nearly a King,1916,50,"Comedy,Romance"
The Net,1916,59,"Crime,Drama"
The Ninety and Nine,1916,50,Drama
The No-Good Guy,1916,50,Comedy
Not My Sister,1916,50,Drama
"Notorious Gallagher; or, His Great Triumph",1916,50,"Crime,Drama"
Oliver Twist,1916,50,Drama
Out of the Drifts,1916,50,Romance
A Parisian Romance,1916,50,Drama
The Parson of Panamint,1916,50,"Action,Romance,Western"
Pasquale,1916,50,"Comedy,Drama"
The Path of Happiness,1916,50,Drama
The Patriot,1916,50,Western
Pawn of Fate,1916,50,Drama
Paying the Price,1916,50,Drama
The Payment,1916,50,Drama
Peggy,1916,70,Comedy
Die Peitsche,1916,85,"Action,Crime"
The People vs. John Doe,1916,60,Drama
The Phantom Buccaneer,1916,80,Drama
Phantom Fortunes,1916,50,Drama
The Phantom,1916,50,"Crime,Drama"
Queen of Spades,1916,63,"Drama,Fantasy,Horror"
Pillars of Society,1916,50,Drama
The Place Beyond the Winds,1916,50,Drama
Plain Jane,1916,50,"Comedy,Drama"
Playing with Fire,1916,50,Drama
The Plow Girl,1916,50,"Crime,Drama,Romance"
Polly Put the Kettle On,1917,50,Drama
The Pool of Flame,1916,50,Adventure
Poor Little Peppina,1916,48,Drama
The Power of Evil,1916,60,Drama
The Price of Fame,1916,50,Drama
The Price of Happiness,1916,50,Drama
The Price of Malice,1916,50,Drama
The Price of Silence,1916,50,Drama
The Primal Lure,1916,50,"Drama,Western"
A Prince in a Pawnshop,1916,50,Drama
Public Opinion,1916,50,"Crime,Drama,Mystery"
Pudd'nhead Wilson,1916,50,"Comedy,Drama"
Purity,1916,70,Drama
The Purple Lady,1916,50,Comedy
The Quitter,1916,60,Western
The Race,1916,50,"Comedy,Drama"
The Rack,1916,50,Drama
The Ragamuffin,1916,50,Drama
The Ragged Princess,1916,50,"Comedy,Drama"
The Rail Rider,1916,50,Drama
The Rainbow Princess,1916,50,Drama
The Reapers,1916,50,Drama
Redeeming Love,1916,50,Drama
Reggie Mixes In,1916,50,"Action,Comedy,Drama"
The Return of Draw Egan,1916,50,"Action,Adventure,Romance"
The Revolt,1916,50,Drama
The Reward of Patience,1916,50,Drama
The Right to Be Happy,1916,50,"Drama,Fantasy"
The Rise of Susan,1916,50,Drama
The River of Romance,1916,50,"Comedy,Romance"
The Road to Love,1916,50,Drama
Rolling Stones,1916,50,"Comedy,Drama"
A Romance of Billy Goat Hill,1916,50,Drama
Romeo and Juliet,1916,70,Drama
Romeo and Juliet,1916,80,"Drama,Romance"
Rose of the South,1916,50,"Drama,History"
The Ruling Passion,1916,50,Drama
The Rummy,1916,50,Drama
Rupert of Hentzau,1915,50,"Drama,History"
The Salamander,1916,50,Drama
The Saleslady,1916,50,Drama
Sally in Our Alley,1916,50,Drama
Salvation Joan,1916,70,"Comedy,Drama"
Saving the Family Name,1916,50,Drama
Slander,1916,50,Drama
The Scarlet Oath,1916,50,Drama
The Scarlet Woman,1916,60,Drama
Shoe Palace Pinkus,1916,45,Comedy
Der schwarze Moritz,1916,50,Comedy
Secret Love,1916,60,Drama
The Secret of the Swamp,1916,50,"Comedy,Drama"
The Seekers,1916,50,Drama
The Selfish Woman,1916,50,Drama
The Serpent,1916,60,Drama
Seventeen,1916,50,"Comedy,Drama"
Shadows and Sunshine,1916,50,"Comedy,Drama"
Shell 43,1916,50,"Drama,War"
Sherlock Holmes,1916,116,"Crime,Mystery"
Shoes,1916,60,Drama
The Shop Girl,1916,50,Drama
The Sign of the Poppy,1916,50,Drama
The Silent Battle,1916,50,Drama
Sins of Her Parent,1916,50,Drama
Sins of Men,1916,50,"Comedy,Drama"
A Sister of Six,1916,50,"Adventure,Drama,Western"
The Ships That Meet,1916,46,Drama
Snow White,1916,63,"Fantasy,Romance"
The Snowbird,1916,50,Drama
The Social Buccaneer,1916,50,"Drama,Mystery"
The Social Highwayman,1916,50,Drama
The Social Secretary,1916,52,"Comedy,Drama"
Sold for Marriage,1916,50,"Drama,Romance"
A Son of the Immortals,1916,50,Drama
The Sons of Satan,1915,50,"Crime,Drama"
A Soul Enslaved,1916,50,Drama
The Soul Market,1916,50,Drama
The Sowers,1916,50,Drama
The Spell of the Yukon,1916,50,Drama
The Sphinx,1916,50,Drama
The Spider and the Fly,1916,50,Drama
Sporting Blood,1916,50,Drama
The Spy,1917,80,"Drama,Thriller,War"
The Stepping Stone,1916,50,Drama
The Sting of Victory,1916,80,"Drama,War"
The Storm,1916,50,Drama
The Straight Way,1916,50,Drama
Stranded,1916,50,Drama
A Stranger from Somewhere,1916,50,Comedy
The Strength of the Weak,1916,50,Drama
The Stronger Love,1916,50,Drama
Sudden Riches,1916,60,Drama
The Summer Girl,1916,50,"Comedy,Drama"
Sunshine Dad,1916,50,Comedy
The Supreme Sacrifice,1916,50,Drama
The Supreme Temptation,1916,50,Drama
Susan Rocks the Boat,1916,50,Drama
Susie Snowflake,1916,50,"Comedy,Drama"
The Suspect,1916,50,"Drama,Romance"
Suzanne,1916,83,"Drama,Romance"
Sweet Kitty Bellairs,1916,50,"Comedy,Romance"
Das Tagebuch des Dr. Hart,1918,82,"Drama,Romance"
Tangled Fates,1916,50,"Drama,Romance"
Tangled Hearts,1916,50,Drama
The Tarantula,1916,50,Drama
The Target,1916,50,Western
Temptation and the Man,1916,50,"Crime,Drama"
Tennessee's Pardner,1916,50,"Drama,Western"
The Test,1916,50,Drama
Then I'll Come Back to You,1916,50,"Drama,Romance"
Therese,1916,55,Drama
The Thoroughbred,1916,50,"Comedy,Drama"
The Thousand-Dollar Husband,1916,50,"Comedy,Drama"
The Three Godfathers,1916,60,Western
The Three Musketeers,1916,63,Adventure
Through the Wall,1916,60,Drama
Thrown to the Lions,1916,50,Drama
Tigre reale,1916,80,Drama
To Have and to Hold,1916,50,"Adventure,Drama"
Tom Brown's Schooldays,1916,75,Drama
The Tongues of Men,1916,50,Drama
The Tortured Heart,1916,50,Drama
The Trail of the Lonesome Pine,1916,50,Drama
The Traveling Salesman,1916,50,"Comedy,Drama"
Truthful Tulliver,1917,50,Western
The Twin Triangle,1916,50,Drama
Two Men of Sandy Bar,1916,50,Western
Under Two Flags,1916,60,"Adventure,Drama"
Undine,1916,50,"Drama,Fantasy"
Unheilbar,1917,53,Drama
Unprotected,1916,50,Drama
The Unwelcome Mother,1916,50,Drama
The Vagabond Prince,1916,45,Drama
The Velvet Paw,1916,50,Drama
"Vera, the Medium",1917,50,Drama
The Victim,1916,50,"Crime,Drama,Romance"
The Victoria Cross,1916,50,"Drama,History"
The Victory of Conscience,1916,50,Drama
Christophe Colomb,1916,110,History
